Month,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,0.0,72880.52826227287,259810.2144364932,108.67912310434663,150.4,990.0,,
2,0.0,72817.54058567979,262959.59826614754,109.98327258159877,169.8,999.9,,
3,0.0,72625.10888460721,272581.18331977556,111.29611638869929,132.0,1009.899,,
4,0.0,72247.86807288043,291443.2239061152,113.06975967776222,18.6,1017.9781919999999,,
5,0.0,72089.58967307299,299357.1438964873,115.33115487131747,8.6,1028.15797392,,
6,0.0,71943.13919595591,306679.6677523417,117.63777796874383,9.3,1038.4395536591996,,
7,0.0,71792.59618610784,314206.8182447459,119.99053352811873,13.8,1048.8239491957918,,
8,0.0,71615.6833078036,323052.4621599588,122.3903441986811,13.0,1059.31218868775,,
9,0.0,71431.733620302,332249.9465350382,124.83815108265472,15.0,1069.9053105746275,,
10,0.0,71215.17432844652,343077.9111278105,127.33491410430781,9.8,1080.6043636803736,,
11,0.0,71021.50895476823,352761.17981172435,129.88161238639398,19.2,1091.4104073171773,,
12,0.0,70791.70130591506,364251.5622543829,132.47924463412187,20.5,1102.324511390349,119.4093337105622,48.333333333333336
13,0.0,70508.54602844604,378409.3261278338,135.1288295268043,7.8,1113.3477565042526,121.61347591243367,36.45
14,0.0,70266.31661577972,390520.79676115,137.8314061173404,16.0,1124.4812340692952,123.9341537070788,23.633333333333336
15,0.0,69979.42785289614,404865.23490532895,140.5880342396872,14.0,1135.726046409988,126.37514686132782,13.799999999999999
16,0.0,69681.86475472274,419743.38981399825,143.39979492448094,14.2,1147.0833068740878,128.90264979855436,13.433333333333335
17,0.0,69381.61856114924,434755.69949267356,146.26779082297057,19.4,1158.5541399428287,131.48070279452546,14.333333333333334
18,0.0,69037.63725125162,451954.76498755347,149.19314663942998,15.8,1170.1396813422568,134.11031685041596,14.875
19,0.0,68687.66790931045,469453.2320846139,152.1770095722186,16.3,1181.8410781556795,136.79252318742428,15.083333333333334
20,0.0,68332.65579907277,487203.8375964973,155.22054976366297,21.2,1193.6594889372363,139.52837365117279,15.766666666666666
21,0.0,67957.77367913058,505947.943593607,158.32496075893624,25.8,1205.5960838266087,142.31894112419624,16.666666666666668
22,0.0,67516.94636040441,527989.3095299138,161.49145997411497,16.0,1217.652044664875,145.16531994668017,17.183333333333334
23,0.0,67089.1776848018,549377.7433100443,164.72128917359728,16.5,1232.2931025138303,148.06862634561378,16.958333333333332
24,0.0,66652.70595914517,571201.3295928754,168.01571495706924,19.7,1252.1333655234848,151.02999887252608,16.891666666666666
25,0.0,66189.6953858765,594351.8582563085,171.37602925621061,18.8,1282.4055693500145,154.05059884997658,17.808333333333334
26,0.0,65720.17868460587,617827.6933198422,174.80354984133484,17.0,1318.595002194251,157.13161082697613,17.89166666666667
27,0.0,65302.52428108644,638710.413495814,178.29962083816153,29.3,1358.4165712605175,160.27424304351564,19.166666666666668
28,0.0,64812.15740402449,663228.7573489125,181.86561325492477,20.2,1399.440751712585,163.47972790438595,19.666666666666668
29,0.0,64407.86164823156,683443.5451385574,185.50292552002327,33.2,1441.7038624143051,166.7493224624737,20.816666666666666
30,0.0,63963.61753715484,705655.7506923936,189.21298403042374,34.0,1485.2433190592171,170.08430891172318,22.333333333333332
31,0.0,63534.10397194641,727131.4289528151,192.9972437110322,37.1,1530.0976672948054,173.48599508995764,24.066666666666666
32,0.0,63049.76332163169,751348.4614685499,196.85718858525286,24.6,1576.3066168471087,176.95571499175676,24.349999999999998
33,0.0,62613.1422238743,773179.5163564193,200.7943323569579,22.5,1623.9110766758913,180.49482929159194,24.075
34,0.0,62251.48958342839,791262.1483787154,204.81021900409706,36.9,1672.9531911915033,184.1047258774238,25.816666666666666
35,0.0,61894.608083765626,809106.2233618532,208.90642338417902,50.2,1723.476377565487,187.78682039497224,28.625
36,0.0,61472.258481734745,830223.7034633992,213.0845518518626,45.8,1775.5253641679642,191.5425568028717,30.8
37,0.0,61121.67552865717,847752.8511172791,217.34624288889987,55.8,1829.146230165837,195.37340793892918,33.88333333333333
38,0.0,60705.96845113096,868538.2049935895,221.69316774667786,48.6,1884.3864463168454,199.28087609770773,36.516666666666666
39,0.0,60345.870752118746,886543.0899442019,226.1270311016114,51.4,1941.2949169956141,203.2664936196619,38.35833333333333
40,0.0,60141.7592287641,896748.6661119336,230.64957172364365,85.4,1999.9220234888817,207.33182349205512,43.791666666666664
41,0.0,60037.615553935364,901955.84985337,234.80126401466924,135.7,2060.319668598246,211.440018366609,52.333333333333336
42,0.0,60302.74107256939,888699.5739216686,238.08571391601396,254.9,2120.3510731339,215.51274585707483,70.74166666666666
43,0.0,60073.21397297401,900175.9289014395,239.96781442127886,264.4,2175.6886673594613,219.42696008292873,89.68333333333332
44,0.0,60097.78372121915,898947.4414891831,242.36749256549166,315.9,2230.177750838585,223.21948541461526,113.95833333333333
45,0.0,60315.88979503014,888042.1377986355,244.28723508086188,402.5,2276.8111300063742,226.84389397494058,145.625
46,0.0,60326.22042234386,887525.6064329504,246.72530807538206,439.3,2319.9303049562222,230.33681806421438,179.15833333333333
47,0.0,60239.22554818862,891875.3501407143,247.21484241680145,448.2,2356.774852410532,233.52918631693288,212.32500000000002
48,0.0,60244.1864042148,891627.3073394087,249.66251412389852,476.9,2398.9302641564946,236.57734983960253,248.25
49,0.0,60165.71897323775,895550.6788882632,251.65981423688973,480.8,2437.0926584769322,239.4368141186017,283.66666666666663
50,0.0,60347.09966432831,886481.6443337358,252.6584642933853,530.4,2465.908313907582,242.01725549749395,323.81666666666666
51,0.0,60858.40144001755,860916.5555492738,253.65711434988089,643.0,2495.1040192766354,244.3114291015164,373.1166666666666
52,0.0,60912.90161020533,858191.5470398839,254.14645287756375,660.6,2524.559951468961,246.26950253100975,421.05
53,0.0,61139.668497384504,846853.2026809243,255.16507593518926,706.6,2551.8399380279257,247.9664868577198,468.625
54,0.0,61717.33650589992,817969.802255152,255.66420123342579,818.7,2576.8479694205994,249.4313608008374,515.6083333333332
55,0.0,61763.865240219086,815643.3655391925,256.173309037627,821.7,2602.1010795209213,250.78181868553312,562.0500000000001
56,0.0,61831.97120305323,812238.067397483,255.13431351884896,823.8,2622.4753427077817,251.8457204316462,604.375
57,0.0,62003.57764404368,803657.7453479586,255.13431351884896,842.2,2648.175601066318,252.7496436348118,641.0166666666668
58,0.0,62101.73828226159,798749.7134370629,255.63323916696618,841.1,2674.1828831560874,253.49197122577712,674.5
59,0.0,62295.32445374115,789070.4048630844,255.63323916696618,853.9,2708.5489449835295,254.19350428829088,708.3083333333333
60,0.0,62437.88902877015,781942.1761116328,256.14214332804573,850.2,2737.8663486741607,254.7334733886365,739.4166666666666
61,0.0,62595.662645976474,774053.4952513147,256.6514548568585,844.0,2753.8210203748067,255.14944344030053,769.6833333333334
62,0.0,62763.6535760259,765653.9487488432,255.61287493628797,836.0,2772.86906548291,255.39564432720908,795.15
63,0.0,62942.96512905962,756688.3710971568,255.0937926919868,826.3,2800.2951609619154,255.5153675223846,810.4249999999998
64,0.0,63348.5145260193,736410.9012491727,254.57429493259784,856.0,2822.0832322991364,255.5510210269708,826.7083333333334
65,0.0,63557.358489074235,725968.7030964267,255.5914923253593,839.8,2827.130207465589,255.5865557261516,837.8083333333334
66,0.0,64095.601746699205,699056.540215177,255.5914923253593,888.8,2840.8737073258662,255.5804966504794,843.65
67,0.0,64808.12002704404,663430.6261979348,255.58130609478303,968.5,2852.092380732601,255.53116307190908,855.8833333333333
68,0.0,65173.2427859753,645174.4882513715,255.5713355629693,975.6,2846.232076678599,255.56758157558576,868.5333333333333
69,0.0,65593.47948859505,624162.653120383,255.03229637260353,996.6,2846.0290529901486,255.55908014673196,881.4000000000001
70,0.0,65793.86793166485,614143.2309668923,254.51381674739827,969.5,2842.803069555682,255.4657949451013,892.1
71,0.0,66110.5801587112,598307.6196145746,253.99432306250145,965.3,2833.8404516119226,255.3292186030626,901.3833333333333
72,0.0,66308.73713567598,588399.7707663341,253.96318211599032,940.1,2844.392166975813,255.14763850205796,908.875
