Month,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,0.0,61670.285256421965,304778.8847387597,129.42427965568714,224.4,990.0,,
2,0.0,61190.6156142486,328762.3668474282,130.71852245224403,158.7,999.9,,
3,0.0,60616.1313758914,357486.5787652875,132.2767907792985,62.4,1009.899,,
4,0.0,60141.346171265446,381225.83899658604,134.6530205537769,11.1,1019.9979900000001,,
5,0.0,59810.13341673323,397786.47672319657,137.34608096485246,19.2,1030.1979698999999,,
6,0.0,59429.87503661601,416799.3957290587,140.0930025841495,15.8,1040.4999495989998,,
7,0.0,59043.42688793359,436121.8031631815,142.89486263583248,16.5,1050.90494909499,,
8,0.0,58628.059072549775,456890.1939323723,145.75275988854912,13.5,1061.41399858594,,
9,0.0,58225.987099425976,476993.79258856195,148.6678150863201,21.3,1072.0281385717992,,
10,0.0,57755.21796029579,500532.2495450699,151.6411713880465,12.6,1082.7484199575172,,
11,0.0,57309.4779634835,522819.2493856844,154.67399481580745,18.5,1093.5759041570923,,
12,0.0,56816.54414193548,547465.9404630859,157.7674747121236,15.7,1106.7206865250605,142.15914795972398,49.14166666666667
13,0.0,56303.94584559759,573095.85527998,160.92282420636607,12.4,1126.7569699001497,144.78402667228056,31.474999999999998
14,0.0,55802.55957177093,598165.168971313,164.1412806904934,15.8,1156.2781810006186,147.569256525468,19.566666666666666
15,0.0,55288.36507213559,623874.8939530787,167.42410630430328,15.9,1186.645864182416,150.49819948588507,15.691666666666665
16,0.0,54776.195358071214,649483.3796562966,170.77258843038936,17.1,1220.1838507490925,153.5081634756028,16.191666666666666
17,0.0,54283.835075062496,674101.3938067333,174.18804019899716,23.9,1257.033403041715,156.57832674511482,16.583333333333332
18,0.0,53750.06845130912,700789.7249944038,177.6718010029771,18.3,1294.995811813575,159.70989328001713,16.791666666666668
19,0.0,53234.817842818215,726552.2554189494,181.22523702303664,17.2,1334.1046853303449,162.90409114561749,16.849999999999998
